Ch,Ct
638,32565
639,32938
640,32220
641,32601
642,32256
643,32027
644,32266
645,32069
646,32404
647,32118
648,31982
649,32130
650,31767
651,31427
652,31650
653,31595
654,31314
655,31190
656,30917
657,30839
658,31184
659,30700
660,30864
661,30518
662,30454
663,30571
664,30385
665,30326
666,30134
667,30150
668,30135
669,30543
670,30215
671,30146
672,30551
673,30309
674,30530
675,30715
676,30475
677,31146
678,30803
679,30934
680,31140
681,31372
682,31348
683,31633
684,31438
685,31905
686,31998
687,32038
688,32108
689,31791
690,32195
691,32378
692,32355
693,32513
694,32654
695,32435
696,32642
697,32309
698,32647
699,32575
700,32687
701,32687
702,32944
703,32829
704,32767
705,32679
706,32697
707,32747
708,32700
709,32953
710,32964
711,32828
712,32697
713,33168
714,32964
715,32992
716,32961
717,32797
718,33245
719,32947
720,33101
721,32869
722,33164
723,33218
724,33093
725,33313
726,33100
727,33026
728,33018
729,32907
730,33169
731,33588
732,33244
733,32873
734,33054
735,33366
736,33204
737,33195
738,33184
739,33209
740,33187
741,33312
742,33280
743,33315
744,33235
745,33487
746,33366
747,33287
748,32984
749,33243
750,32986
751,33398
752,33226
753,33258
754,33122
755,33181
756,32927
757,33489
758,33346
759,33160
760,33558
761,33410
762,33576
763,33327
764,33481
765,33460
766,33503
767,33176
768,33053
769,33653
770,33120
771,32765
772,33289
773,33487
774,33124
775,33450
776,33304
777,33634
778,33384
779,33304
780,33279
781,33258
782,33217
783,33159
784,33363
785,33013
786,33217
787,33130
788,33068
789,33128
790,33179
791,33272
792,32893
793,33110
794,33155
795,33498
796,33474
797,33300
798,33334
799,33184
800,33217
801,33549
802,33448
803,33169
804,33414
805,33348
806,33351
807,33324
808,33331
809,32958
810,33285
811,33200
812,33170
813,33100
814,33583
815,33334
816,33357
817,33212
818,33257
819,33261
820,33142
821,33113
822,33609
823,33210
824,33434
825,33305
826,33071
827,33201
828,33610
829,33544
830,33476
831,33222
832,33112
833,33266
834,33326
835,33214
836,32978
837,33288
838,33179
839,33312
840,33215
841,33340
842,33160
843,32942
844,33343
845,33206
846,33165
847,33005
848,33062
849,33155
850,33229
851,33352
852,32846
853,33047
854,33299
855,33160
856,33225
857,33131
858,33141
859,33062
860,33143
861,33185
862,32986
863,33013
864,33272
865,32824
866,33255
867,33391
868,33542
869,33211
870,33208
871,33231
872,33273
873,33224
874,33237
875,33195
876,33021
877,33161
878,33307
879,33317
880,32815
881,33336
882,32796
883,32941
884,33008
885,33188
886,33230
887,32998
888,33096
889,32970
890,32924
891,33082
892,33308
893,32970
894,33015
895,32910
896,33001
897,33151
898,33047
899,33176
900,33218
901,32966
902,32746
903,32704
904,33485
905,33015
906,32740
907,33126
908,33010
909,33148
910,33099
911,33078
912,32843
913,32851
914,33375
915,32941
916,32943
917,33083
918,33063
919,32985
920,33014
921,33022
922,33187
923,33227
924,33048
925,33396
926,32715
927,33141
928,33231
929,33067
930,33182
931,32761
932,32889
933,33140
934,32898
935,33049
936,32884
937,32961
938,33148
939,33185
940,32767
941,32904
942,32866
943,33038
944,33194
945,33065
946,32987
947,33052
948,32930
949,33021
950,32983
951,33077
952,32929
953,32850
