Ch,Ct
638,258495
639,258343
640,258098
641,257765
642,257530
643,257724
644,257499
645,257567
646,257614
647,256950
648,257290
649,257593
650,256876
651,257187
652,257086
653,257088
654,257702
655,257571
656,257291
657,257164
658,256981
659,256729
660,257212
661,257647
662,257226
663,257506
664,256206
665,256095
666,257364
667,256217
668,256621
669,257103
670,256766
671,255225
672,256275
673,254944
674,256617
675,255148
676,254862
677,255864
678,254578
679,255404
680,254327
681,255614
682,254990
683,254808
684,255123
685,254397
686,253424
687,253364
688,252785
689,252754
690,251828
691,251654
692,249932
693,249563
694,248664
695,246202
696,243678
697,242879
698,241110
699,239831
700,239822
701,240675
702,240780
703,242586
704,243872
705,244897
706,247757
707,247319
708,249404
709,250354
710,250857
711,252265
712,251861
713,252467
714,252333
715,252658
716,253718
717,253526
718,253675
719,254630
720,254224
721,254810
722,254905
723,254249
724,254034
725,254163
726,254658
727,254496
728,254312
729,254760
730,254730
731,254702
732,254294
733,255161
734,254250
735,254842
736,254259
737,255109
738,254315
739,253821
740,254646
741,254968
742,253770
743,254188
744,254261
745,254395
746,254432
747,254407
748,253867
749,255238
750,254022
751,254049
752,254139
753,253679
754,254645
755,253595
756,253253
757,253672
758,253819
759,252965
760,253491
761,254771
762,253300
763,253298
764,253250
765,253495
766,253453
767,254155
768,253777
769,254919
770,253759
771,253753
772,253365
773,254488
774,253321
775,252871
776,252693
777,253956
778,253551
779,253764
780,252854
781,252533
782,252723
783,253803
784,252806
785,252587
786,252920
787,253043
788,253058
789,252877
790,251641
791,251958
792,252151
793,252867
794,251732
795,251632
796,251998
797,251651
798,253098
799,251034
800,252753
801,251952
802,252998
803,252029
804,252422
805,252125
806,252341
807,251662
808,251502
809,251363
810,251098
811,251708
812,251319
813,251908
814,251587
815,251378
816,250800
817,251347
818,250891
819,250531
820,251224
821,251175
822,250740
823,251382
824,251289
825,251249
826,250971
827,251367
828,250762
829,251059
830,250044
831,250020
832,249776
833,250958
834,250643
835,249968
836,249442
837,249858
838,250201
839,249389
840,250074
841,249324
842,249916
843,249324
844,248732
845,249638
846,248720
847,249557
848,248560
849,248099
850,248685
851,247789
852,247868
853,247857
854,246756
855,246787
856,247022
857,245884
858,245369
859,244788
860,243462
861,244202
862,241963
863,241576
864,240284
865,239025
866,235469
867,234734
868,232391
869,231139
870,230191
871,228737
872,228809
873,229215
874,230207
875,231448
876,232799
877,234253
878,234501
879,235991
880,237965
881,238932
882,239695
883,240314
884,241866
885,242525
886,243677
887,244173
888,244804
889,243529
890,245367
891,246413
892,245412
893,245803
894,245705
895,246711
896,246297
897,246699
898,246002
899,246061
900,245783
901,245627
902,246255
903,246237
904,245688
905,246188
906,246993
907,246368
908,246401
909,246834
910,246026
911,246106
912,246549
913,245776
914,246556
915,245820
916,245908
917,245969
918,245808
919,246247
920,246112
921,244619
922,245962
923,245481
924,245492
925,245553
926,244599
927,245357
928,245410
929,245328
930,245124
931,244676
932,245983
933,244742
934,245283
935,245333
936,244978
937,244848
938,244139
939,245249
940,244494
941,244427
942,243902
943,244624
944,245234
945,244043
946,245718
947,244713
948,245375
949,244630
950,245020
951,244544
952,243476
953,244869
954,244539
955,243642
956,243378
957,243747
958,243670
959,243286
960,243095
961,242949
962,243589
963,242528
964,243548
965,243422
966,242986
967,242993
968,242364
969,242744
970,242884
971,242561
972,243229
973,243069
974,242688
975,242491
976,242949
977,242312
978,242725
979,242359
980,241413
981,242789
982,242132
983,242640
984,242530
985,242550
986,242036
987,242210
988,241360
989,241593
990,241926
991,241470
992,241308
993,241162
994,240722
995,241519
996,241593
997,241099
998,240786
999,241288
1000,241514
1001,241741
1002,241145
1003,240460
1004,240201
1005,239596
1006,240358
1007,241420
1008,240915
1009,239693
1010,239697
1011,240860
1012,240281
1013,240553
1014,239713
1015,240057
1016,240000
1017,239452
1018,240072
1019,239807
1020,240206
1021,238836
1022,240440
1023,239400
