Ch,Ct
638,2160
639,2263
640,2135
641,2231
642,2240
643,2082
644,2186
645,2237
646,2215
647,2222
648,2214
649,2155
650,2215
651,2144
652,2254
653,2171
654,2182
655,2136
656,2078
657,2162
658,2126
659,2096
660,2145
661,2096
662,2020
663,2034
664,1936
665,2053
666,1936
667,2060
668,1944
669,1962
670,1929
671,1891
672,1898
673,1917
674,1879
675,1868
676,1762
677,1706
678,1695
679,1632
680,1570
681,1529
682,1467
683,1459
684,1376
685,1338
686,1320
687,1218
688,1267
689,1181
690,1071
691,1149
692,1116
693,1081
694,1205
695,1117
696,1310
697,1291
698,1315
699,1345
700,1409
701,1460
702,1635
703,1572
704,1661
705,1714
706,1677
707,1722
708,1765
709,1746
710,1907
711,1866
712,1984
713,1977
714,1942
715,1955
716,2057
717,1996
718,1974
719,2019
720,2118
721,2012
722,2064
723,2104
724,2058
725,2159
726,2144
727,2158
728,2098
729,2072
730,2130
731,2162
732,2098
733,2142
734,2053
735,2088
736,2175
737,2137
738,2196
739,2235
740,2165
741,2127
742,2109
743,2152
744,2158
745,2112
746,2174
747,2223
748,2141
749,2134
750,2095
751,2179
752,2133
753,2179
754,2129
755,2173
756,2148
757,2172
758,2114
759,2216
760,2070
761,2143
762,2178
763,2211
764,2153
765,2147
766,2121
767,2191
768,2153
769,2196
770,2156
771,2129
772,2128
773,2224
774,2165
775,2146
776,2191
777,2105
778,2132
779,2108
780,2065
781,2239
782,2098
783,2163
784,2094
785,2099
786,2052
787,2190
788,2159
789,2108
790,2093
791,2082
792,2143
793,2143
794,2081
795,1978
796,2013
797,2096
798,2028
799,2093
800,2037
801,2076
802,1977
803,1887
804,2002
805,1985
806,1916
807,1940
808,1909
809,1876
810,1853
811,1840
812,1731
813,1859
814,1811
815,1755
816,1615
817,1632
818,1552
819,1573
820,1500
821,1426
822,1344
823,1346
824,1327
825,1208
826,1222
827,1173
828,1183
829,1200
830,1165
831,1098
832,1166
833,1213
834,1266
835,1305
836,1361
837,1339
838,1422
839,1359
840,1438
841,1533
842,1503
843,1494
844,1617
845,1675
846,1681
847,1803
848,1768
849,1802
850,1829
851,1980
852,1881
853,1843
854,1954
855,1922
856,1923
857,2031
858,1992
859,2066
860,1997
861,2078
862,1982
863,2060
864,2045
865,2074
866,2083
867,1962
868,2038
869,1999
870,2142
871,2091
872,2178
873,2181
874,2118
875,2215
876,2052
877,2105
878,2103
879,2104
880,2167
881,2140
882,2139
883,2024
884,2078
885,2001
886,2138
887,2149
888,2089
889,2235
890,2179
891,2117
892,2198
893,2139
894,2065
895,2135
896,2163
897,2060
898,2216
899,2108
900,2190
901,2135
902,2160
903,2085
904,2215
905,2170
906,2175
907,2160
908,2212
909,2092
910,2178
911,2226
912,2197
913,2166
914,2140
915,2126
916,2227
917,2220
918,2116
919,2146
920,2131
921,2076
922,2223
923,2185
924,2200
925,2194
926,2261
927,2175
928,2190
929,2166
930,2095
931,2264
932,2171
933,2175
934,2127
935,2141
936,2162
937,2132
938,2172
939,2106
940,2123
941,2145
942,2095
943,2085
944,2121
945,2123
946,2154
947,2174
948,2186
949,2091
950,2267
951,2135
952,2154
953,2143
954,2148
955,2144
956,2180
957,2156
958,2092
959,2178
960,2166
961,2091
962,2145
963,2107
964,2199
965,2169
966,2155
967,2154
968,2231
969,2147
970,2108
971,2171
972,2223
973,2080
974,2153
975,2147
976,2086
977,2175
978,2174
979,2147
980,2089
981,2113
982,2132
983,2118
984,2178
985,2068
986,2171
987,2025
988,2160
989,2069
990,2107
991,2126
992,2129
993,2192
994,2132
995,2121
996,2167
997,2159
998,2130
999,2157
1000,2099
1001,2117
1002,2108
1003,2226
1004,2151
1005,2130
1006,1992
1007,2145
1008,2180
1009,2122
1010,2113
1011,2187
1012,2076
1013,2164
1014,2123
1015,2126
1016,2101
1017,2133
1018,2097
1019,2190
1020,2137
1021,2152
1022,2130
1023,2157
